game_name	relise_year	func_name	ext_list	script_name	com1	com2
38 попугаев: Bолшебный праздник	Page not found!	_QuickBMS		\data\scripts\boolat_games.bms		
3d Baseball	Page not found!	_QuickBMS		\data\scripts\3d_baseball.bms		
3D Baseball (PS1, SATURN)	Page not found!	_QuickBMS	Crystal Dynamics Archive Type 5(BIGFILE.FOO -r BIGFILE -r TITAN.CLS)	\data\scripts\cdat05_twsaturn.bms		
3d Frog Frenzy	1999	_QuickBMS	key file (*.key)|	\data\scripts\3d_frog_frenzy.bms		
3d GoGo	Page not found!	_QuickBMS		\data\scripts\thrixxx.bms		
3D Mark 11, Vantage and so on	Page not found!	_QuickBMS		\data\scripts\futuremark.bms		
3d SexVilla	Page not found!	_QuickBMS		\data\scripts\thrixxx.bms		
3d SexVilla 2	Page not found!	_QuickBMS		\data\scripts\thrixxx.bms		
3D Ultra Cool Radio Racers	Page not found!	_QuickBMS		\data\scripts\RBX.bms		
3D Ultra Mini Golf	Page not found!	_QuickBMS		\data\scripts\RBX.bms		
3D Ultra Minigolf Adventures (XBLA)	2007	_QuickBMS	PAK File (*.pak)|	\data\scripts\tongas.bms		
3D Ultra Minigolf Adventures 2 (XBLA)	Page not found!	_QuickBMS	PAK File (*.pak)|	\data\scripts\tongas.bms		
3D Ultra Pool	Page not found!	_QuickBMS		\data\scripts\tbv.bms		
3ds ARCV	Page not found!	_QuickBMS	arcv file (*.arcv)|	\data\scripts\3ds_arcv.bms		
3ds CTPK	Page not found!	_QuickBMS	ctpk file (*.ctpk)|	\data\scripts\3ds_arcv.bms		
3ds MAX	Page not found!	_QuickBMS	mse file (*.mse)|	\data\scripts\3dsmax.bms		
3on3 FreeStyle: Rebound		_Unreal4	0x4A927196C94F7666645AC6A77E6E476CAAFE592688D15F1BBDFBFB0316E05431			
4 Элемента HD	Page not found!	_QuickBMS		\data\scripts\boolat_games.bms		
4D Minesweeper	2018	_Godot				
4x4: Evolution	2000	_QuickBMS	pod file (*.pod)|	\data\scripts\4x4evo.bms		
4x4: Evolution 2	2001	_QuickBMS	pod file (*.pod)|	\data\scripts\4x4evo.bms		
5.0	2019	_Godot				
50 Cent: Bulletproof		_GAUP	AFS Files (*.AFS)|			
51 new dancer	Page not found!	_QuickBMS		\data\scripts\51_new_dancer_incomplete.bms		
5Street	Page not found!	_QuickBMS		\data\scripts\5street.bms		
6.0	2019	_Godot				
7 Wonders: Magical Mystery Tour (iPhone/iPad)	Page not found!	_QuickBMS	(Contents.dat)|	\data\scripts\7_wonders.bms		
7n7	2020	_Godot				
7th Guest, The (GJD)	Page not found!	_QuickBMS		\data\scripts\The_7th_Guest_GJD.bms		
8-Bit Commando	2014	_ZIP	Love2D Engine Files (*.love; *.exe)|			
80 Days	2014	_QuickBMS		\data\scripts\frogwares.bms		
888 Poker	Page not found!	_QuickBMS	CXM file (*.cxm)|	\data\scripts\888.bms		
8BitBoy	2014	_Construct				
9 Clues: The Secret of Serpent Creek	2014	_QuickBMS	(Game.cub)|	\data\scripts\9_clues.bms		
Автопробег „Черное море“	2007	_Chrome				
Аллоды 2: Повелитель душ	1999	_SAU				
Аллоды: Печать тайны	1998	_SAU				
Ведьмак	2007	_Aurora				
Ведьмак 2: Убийцы Королей	2011	_RedEngine				
Ведьмак 3: Дикая Охота	2015	_RedEngine				
Мор. Утопия	2005	_Mor				
Полный привод 2: Даурский марафон	2008	_Chrome				
Полный привод 2: Сибирский призыв	2008	_Chrome				
Полный привод 2: УАЗ 4х4	2008	_Chrome				
Полный привод 2: Hummer	2008	_Chrome				
Полный привод: УАЗ 4х4. Уральский призыв	2007	_Chrome				
Полный привод: УАЗ 4x4	2007	_Chrome				
Полный привод. Трофи Мурманск — Владивосток 2	2010	_Chrome				
Привидения из Букленда. Книжное приключение	2008	_LithTech				
Экспедиция-Трофи: Мурманск — Владивосток	2006	_Chrome				
A Clockwork Ley-Line: The Borderline of Dusk	Page not found!	_QuickBMS	DAT File (*.dat)|	\data\scripts\leyline_dat.bms		
A Comfortable Burden	2021	_Godot				
A Game of Changes	2016	_Godot				
A Prendre ou A Laisser (FR)	Page not found!	_QuickBMS	BIN File (*.bin)|	\data\scripts\bank.bin.bms		
A Raven Monologue	2018	_Construct				
A.I.M. Racing	Page not found!	_QuickBMS		\data\scripts\aimracing.bms		
A4-A8 engine	Page not found!	_QuickBMS	#Note: move to engines menu	\data\scripts\gamestudio.bms		
Abbey of Crime Extensum, The		_ZIP				
Abomination The Nemesis Project (awf)	1999	_QuickBMS	AWF file (*.awf)|	\data\scripts\Abomination_The_Nemesis_Project_AWF.bms		
Abomination The Nemesis Project (clt)	1999	_QuickBMS	CLT file (*.clt)|	\data\scripts\Abomination_The_Nemesis_Project_CLT.bms		
Absolutely Goode Championship	2020	_Godot				
Absolver	2017	_Unreal4	0x633742324476507352674839566530426A474A4B7A4249654349656F53547458			
Abstract Hell	2019	_Godot				
Abstractism	2018	_Construct				
Abundante!	Page not found!	_QuickBMS	paq file (*.paq)|	\data\scripts\10tons.bms		
Abyss of Pandemonium	1998	_idTech				
ACE Combat 04	Page not found!	_QuickBMS		\data\scripts\ace_combat_4.bms		
Ace Combat 7		_Unreal4	0x68747470733A2F2F616365372E616365636F6D6261742E6A702F737065636961			
Ace Combat Assault Horizon	2011	_QuickBMS		\data\scripts\ace_combat_horizon.bms		
Ace Combat Zero: The Belkan War (PS2) npsf to ss2	Page not found!	_QuickBMS	NPSF File (*.npsf)|	\data\scripts\ace_combat_0.bms		
ACTC (MAS)	Page not found!	_QuickBMS		\data\scripts\Master_of_Magic_LBX.bms		
Activision BAF	Page not found!	_QuickBMS		\data\scripts\raw_baf.bms		
Actua Soccer	1995	_QuickBMS	mad file (*.mad)|	\data\scripts\Actua_Soccer_1_audio_MAD.bms		
Actua Soccer 2	1997	_QuickBMS	mad file (*.mad)|	\data\scripts\Actua_Soccer_2_audio_MAD.bms		
Actua Soccer 3	1998	_QuickBMS	mad file (*.mad)|	\data\scripts\Actua_Soccer_3_audio_MAD.bms		
Ad Wars	2022	_Construct				
Adrenalin Misfits	Page not found!	_QuickBMS		\data\scripts\adrenalin_misfits.bms		
Adva-lines	2018	_Construct				
Adventure in King Caries Land	2019	_Godot				
Adventure Lamp	2016	_Construct				
Adventures of Ambages		_QuickBMS	Gamestudio WRS File (*.wrs)|	\data\scripts\gamestudio.bms		
Adventures of Human Being	2021	_Godot				
Adventures of Natalie Brooks	Page not found!	_QuickBMS		\data\scripts\adventures_natalie_brooks.bms		
Adventures of Robinson Crusoe	2009	_QuickBMS		\data\scripts\adventures_robinson_crusoe.bms		
Adventures Of Sherlock Holmes: The Case Of The Silver Earring	Page not found!	_QuickBMS		\data\scripts\frogwares.bms		
Adventures of Tintin, The	Page not found!	_QuickBMS		\data\scripts\tintin.bms		
Adventures of Willy Beamish	Page not found!	_QuickBMS		\data\scripts\willy_beamish.bms		
Aeon Flux	дата	_QuickBMS		\data\scripts\POD_POD3.bms		
Aeon of Sands - The Trail	2018	_ZIP	Love2D Engine Files (*.love; *.exe)|			
Aequitas Orbis	2017	_Godot				
Aerannis	2015	_ZIP	Love2D Engine Files (*.love; *.exe)|			
AeriaGames Pack	Page not found!	_QuickBMS	#Note: move to engines menu	\data\scripts\packver01.bms		
Affari Tuoi (IT)	Page not found!	_QuickBMS	BIN File (*.bin)|	\data\scripts\bank.bin.bms		
AFL Live 2 (Xbox 360)	Page not found!	_QuickBMS		\data\scripts\afl_life_2_360.bms		
AFS archive (Xbox)	#Note: move to consoles menu	_QuickBMS	afs file (*.afs)|	\data\scripts\afs.bms		
Afterlife	1996	_QuickBMS		\data\scripts\afterlife.bms		
Aftershock for Quake 	1996	_idTech				
Against Rome	2004	_ZIP	dat file (*.dat)|			
Agarest 2	Page not found!	_QuickBMS	sec file (*.sec)|	\data\scripts\agarest2.bms		
Age of Chivalry	2008	_Source				
Age of Empires		_GAUP	DRS Files (*.DRS)|			
Age of Empires 2		_GAUP	DRS Files (*.DRS)|			
Age of Empires 3		_GAUP	AGE3SCN, BAR Files (*.AGE3SCN; *.BAR)|			
Age of Empires MEX 3	Page not found!	_QuickBMS	drs file (*.drs)|	\data\scripts\Age_Of_Empires_MEX3_DRS.bms		
Age of Mythology		_GAUP	BAR, SCX, XMB Files (*.BAR; *.SCX; *.XMB)|			
Age of Steel: Recharge	2016	_Construct				
Age of Wonders	1999	_SAU				
Age of Wonders II		_GAUP	A2C, ACM, AHM Files (*.A2C; *.ACM; *.AHM)|			
Age of Wushu	Page not found!	_QuickBMS	pck file (*.pck)|	\data\scripts\age_of_wushu.bms		
Agency of Anomalies 2, The	Page not found!	_QuickBMS		\data\scripts\agency_anomalies_2.bms		
Agency of Anomalies 4, The	Page not found!	_QuickBMS		\data\scripts\agency_anomalies_4.bms		
Agency of Anomalies: Mystic Hospital, The	Page not found!	_QuickBMS		\data\scripts\agency_of_anomalies.bms		
Agent Armstrong	Page not found!	_QuickBMS		\data\scripts\agent_armstrong.bms		
Agile Warrior	Page not found!	_QuickBMS		\data\scripts\agile_warrior.bms		
Agon	Page not found!	_QuickBMS	SFL File (*.sfl)|	\data\scripts\agon.bms		
AGON - The Lost Sword of Toledo	Page not found!	_QuickBMS	bfg file (*.bfg)|	\data\scripts\bigfishgames81.bms		
Agrar Simualator 2013	2012	_QuickBMS		\data\scripts\insomnia.bms		
Ai Space	Page not found!	_QuickBMS		\data\scripts\aispace.bms		
Aik's Cheese Adventures	2018	_Construct				
Aimgod		_Unreal4	0x24BAEC60D3DA1B229D60F9813D59F2CFBA1D9755A8EB9A72BF0EC7FC8E3E5B1F			
Aion: The Tower of Eternity	2008	_CryEngine				
Air Marty	2019	_Construct				
Air Strike 3D: Operation W.A.T.		_GAUP	APK Files (*.APK)|			
Air Warrior, SVGA	Page not found!	_QuickBMS		\data\scripts\svga_air_warrior.bms		
Airborne Hero: D-Day Frontline 1944	2004	_QuickBMS	Gamestudio WRS File (*.wrs)|	\data\scripts\gamestudio.bms		
Airborne Troops		_GAUP	PAK Files (*.PAK)|			
Aircar	2019	_Unreal4	0x48112F5B7F63E399B14114F8A6185EA89E68B6EA38E9CACF0F71EFA4501C986B			
Airline 69	Page not found!	_QuickBMS		\data\scripts\GFX_NGS.bms		
AirXonix		_GAUP	MUS Files (*.MUS)|			
Ajax Club Football 2005		_GAUP	BIG Files (*.BIG)|			
Akuji the Heartless (PS1)	Page not found!	_QuickBMS	Crystal Dynamics Archive Type 8 (BIGFILE.DAT)	\data\scripts\cdat08_gex2.bms		
Al-Qadim	1993	_SAU				
Alabama Smith	Page not found!	_QuickBMS		\data\scripts\alabama_smith.bms		
Alawar Games (PACK)	Page not found!	_QuickBMS		\data\scripts\sfgp.bms		
Alien Arena	2006	_idTech				
Alien Hallway	2010	_QuickBMS	bfg file (*.bfg)|	\data\scripts\bigfishgames81.bms		
Alien On The Run	Page not found!	_QuickBMS		\data\scripts\farc3.bms		
Alien Rage Unlimited	Page not found!	_QuickBMS	(SND*.AFB)|	\data\scripts\alien_rage_ultimited.bms		
Alien Swarm	2010	_Source				
Alien Swarm: Reactive Drop	2017	_Source				
Alien: Isolation	2014	_QuickBMS	pak file (*.pak)|	\data\scripts\alien_isolation.bms		
Aliens versus Predator 2 	2001	_LithTech				
Aliens versus Predator 2: Primal Hunt 	2002	_LithTech				
Aliens vs. Predator (2010)	2010	_Asura				
Aliens vs. Predator: Requiem	2007	_Asura				
All out race	Page not found!	_QuickBMS		\data\scripts\alloutrace.bms		
All Points Bulletin (PCK)	2010	_QuickBMS	PCK File (*.pck)|	\data\scripts\apb_pck.bms		
Allods 1	1998	_SAU				
Allods 2 (RES)	Page not found!	_QuickBMS		\data\scripts\RES_2.bms		
Allods 2: Necromancer	1999	_SAU				
Alone in the Dark	1992	_QuickBMS	pak file (*.pak)|	\data\scripts\alonedarkx.bms		
Alone in the Dark 2	1993	_QuickBMS	pak file (*.pak)|	\data\scripts\alonedarkx.bms		
Alone in the Dark 3	1994	_QuickBMS	pak file (*.pak)|	\data\scripts\alonedarkx.bms		
Alpacapaca Dash	2017	_Godot				
Alpacapaca Double Dash	2020	_Godot				
Alpha Black Zero		_ZIP				
Alphabetical Order	2021	_Godot				
Alphaman	2019	_Godot				
Alundra 2	1999	_QuickBMS		\data\scripts\alundra.bms		
Am Madness	2021	_Godot				
Amazing Adventures: The Forgotten Dynasty	Page not found!	_QuickBMS		\data\scripts\amazing_adventures_tfd.bms		
Amazing Spider-Man vs. The Kingpin, The (Sega)	Page not found!	_QuickBMS	BIN File (*.bin)|	\data\scripts\sega_video.bms		
Amazing Spider-Man, The	Page not found!	_QuickBMS	PKZ File (*.pkz)|	\data\scripts\amazing_spiderman.bms		
American McGee’s Alice 	2000	_idTech				
Amiga Disk File	unknow	_SAU	#Note: move to consoles menu			
Amnesia: Memories	Page not found!	_QuickBMS		\data\scripts\amnesia_memories.bms		
Amplitude	2016	_QuickBMS		\data\scripts\amplitude.bms		
Amy	2012	_QuickBMS		\data\scripts\amy.bms		
An Elder Scrolls Legend: Battlespire	1998	_Bethesda				
Anachronox (DAT)	2001	_QuickBMS	DAT File (*.dat)|	\data\scripts\anachronox.bms		
Anagrams	2020	_ZIP	Love2D Engine Files (*.love; *.exe)|			
Anarchy Arcade	2014	_Source				
And-Kensaku	Page not found!	_QuickBMS		\data\scripts\and_kensaku.bms		
Angelica	Page not found!	_QuickBMS		\data\scripts\angelica_file_package.bms		
Angry Birds (LUA)	2009	_QuickBMS	LUA Files (*.lua)|	\data\scripts\angry_birds_lua.bms		
Angry Birds Go! (KPX)	2013	_QuickBMS	KPX Files (*.kpx)|	\data\scripts\angry_birds_go.bms		
Angstrage	2021	_Godot				
Angvik	2014	_Construct				
Animals!, The (SEGA)	Page not found!	_QuickBMS	(MEDIA.RES)|	\data\scripts\animals_sega.bms		
Ankh: Heart of Osiris	2006	_ZIP	dat file (*.dat)|			
Anomaly: Warzone Earth	2011	_QuickBMS		\data\scripts\anomalywe.bms		
Another Century's Episode PSP	Page not found!	_QuickBMS		\data\scripts\another_century.bms		
Another Day	Page not found!	_QuickBMS		\data\scripts\f12010_nefs.bms		
Another World	1991	_QuickBMS		\data\scripts\another_world.bms		
Anpanman to Asobo: ABC Kyoushitsu (NDS)	Page not found!	_QuickBMS	PAC File (*.pac)|	\data\scripts\im00.bms		
Anpanman to Asobo: Aiueo Kyoushitsu (NDS)	Page not found!	_QuickBMS	PAC File (*.pac)|	\data\scripts\im00.bms		
Anpanman to Touch de Waku Waku Training (DS)	Page not found!	_QuickBMS	PB File (*.pb)|	\data\scripts\anpanman.bms		
Anthem	2019	_FrostBite	3			
Apache Longbow (BIN)	Page not found!	_QuickBMS	bin file (*.bin)|	\data\scripts\BIN_14.bms		
Apache Longbow (BLK)	Page not found!	_QuickBMS	blk file (*.blk)|	\data\scripts\Apache_Longbow_BLK.bms		
Ape Escape: Pumped & Primed	Page not found!	_QuickBMS	(DSKIMG.INF -r DSKIMG.BIN)|	\data\scripts\ape_escape_inf_bin.bms		
Aperture Tag: The Paint Gun Testing Initiative	2014	_Source				
Apocalypse	Page not found!	_QuickBMS		\data\scripts\lord_of_arcana.bms		
Aquanoid 2 (GOB)	Page not found!	_QuickBMS		\data\scripts\GOB_GOB_3.bms		
Aquarius	2020	_Godot				
Aquazone	Page not found!	_QuickBMS		\data\scripts\aquazone.bms		
Arasuji de Kitaeru Hayamimi no Susume (DS)	Page not found!	_QuickBMS	CRI engine Files (*.snd -r *.shd)|	\data\scripts\cri_engine.bms		
ARCA (MAS)	Page not found!	_QuickBMS		\data\scripts\Master_of_Orion_LBX.bms		
Arcade America	1997	_QuickBMS		\data\scripts\arcade_america.bms		
Arcade games collection	2020	_Construct				
Arcadegeddon		_Unreal4	0x7C91C555353DA720DDAA5B2156BC2AD937FB31EF811401C786303E89468A5237			
Arcana Heart 3	Page not found!	_QuickBMS		\data\scripts\arcana_heart_3.bms		
Arcania: Gothic 4 (INT Version)	2010	_QuickBMS	PAK File (*.pak)|	\data\scripts\arcania.bms		
Arcania: Gothic 4 (POL+CZE Version)	2010	_QuickBMS	PAK File (*.pak)|	\data\scripts\arcania_pl.bms		
Arcania: Gothic 4 (RUS Version)	2010	_QuickBMS	PAK File (*.pak)|	\data\scripts\arcania_rus_full.bms		
Arcanum (DAT)	2001	_OtherPRG	Arcanum DAT File (*.dat)|	undat.exe	 	FolderName
ArchAge (AES)	2013	_QuickBMS	aes file (*.aes)|	\data\scripts\archeage.bms		
ArchAge (PAK)	2013	_CryEngine				
Archibalds Adventure	Page not found!	_QuickBMS	pdb file (*.pdb)|	\data\scripts\archibalds_adventure.bms		
Archimedes	2016	_Construct				
Archipelago	2016	_Godot				
Arctic Adventure: Episodes	2019	_Source				
Ardennes Offensive - Operation "Rhine Watch" - Winter 1944	2004	_QuickBMS	Gamestudio WRS File (*.wrs)|	\data\scripts\gamestudio.bms		
Are You Smarter Than A 5th Grader: Make the Mark (XBLA)	Page not found!	_QuickBMS	XEN File (*.xen)|	\data\scripts\XEN_archive_extractor.bms		
Are You Smarter than a 5th Grader?	2007	_QuickBMS	(Glob.bin)|	\data\scripts\glob.bin.bms		
Area 51 (Audio Pakc)	Page not found!	_QuickBMS		\data\scripts\area51_audiopkg.bms		
Arena of Fate	2016	_CryEngine				
Arena Wars		_ZIP				
Arena, Elder Scrolls I	1993	_Bethesda				
Ariscomp Z	Page not found!	_QuickBMS		\data\scripts\ariscomp.bms		
Arizona Derby	2019	_Unreal4	0x55753D40BC2F24135648DF4E10B4A7B39BB8297A3423BA468CDF2CB7330A2706			
Arkadian Warriors (XBLA)	2007	_QuickBMS	PAK File (*.pak)|	\data\scripts\tongas.bms		
ARMA 2	2009	_QuickBMS	PBO File (*.pbo)|	\data\scripts\pbo.bms		
ArmA: Armed Assault	2006	_QuickBMS	PBO File (*.pbo)|	\data\scripts\pbo.bms		
ArmA: Combat Operations	Page not found!	_QuickBMS	PBO File (*.pbo)|	\data\scripts\pbo.bms		
ArmA: Queen's Gambit	2007	_QuickBMS	PBO File (*.pbo)|	\data\scripts\pbo.bms		
Armageddon Riders Clutch	Page not found!	_QuickBMS		\data\scripts\clutch.bms		
Armed Forces Corp 	2009	_LithTech				
Armored Fist 3 (PFF)	2009	_QuickBMS		\data\scripts\PFF_PFF3.bms		
Armored Warfare	2015	_CryEngine				
Army Men	1998	_QuickBMS	pak file (*.pak)|	\data\scripts\army_man.bms		
Army Men: Sarge's War (GameCube)	2004	_QuickBMS		\data\scripts\AMSW_GC_sti_stm.bms		
Army Men: Sarge's War (PS2)	2004	_QuickBMS		\data\scripts\AMSW_PS2_msh_msb.bms		
Army Men: Sarge's War (Xbox)	2004	_QuickBMS		\data\scripts\AMSW_Xbox_sbr.bms		
Army Men: Toys In Space	Page not found!	_QuickBMS	ANM and ATL File (*.anm -r *.atl)	\data\scripts\army_men_amm_atl.bms		
Army Of Two	2008	_QuickBMS	bnk file (*.bnk)|	\data\scripts\armyoftwo.bms		
Army Of Two 40th Day PSP Demo	Page not found!	_QuickBMS	dat file (*.dat)|	\data\scripts\armyoftwo_psp.bms		
Army of Two: The Devil's Cartel	2013	_FrostBite	2			
Army Rangers: Mogadishu	2005	_LithTech				
Arsenal 2	Page not found!	_QuickBMS		\data\scripts\arsenal2.bms		
Arslan: The Warriors of Legend	2015	_QuickBMS		\data\scripts\arslan.bms		
Arthur's Quest: Battle for the Kingdom 	2002	_LithTech				
Artifact Classic	2018	_Source				
Artillerists	2017	_Construct				
Arx Fatalis	2002	_OtherPRG	Arx Fatalis PAK File (*.pak)|	afunpak.exe	 	 
Ascendancy	1995	_QuickBMS	cob file (*.cob)|	\data\scripts\Ascendancy_COB.bms		
Ascendancy		_GAUP	COB Files (*.COB)|			
Asgard's Wrath		_Unreal4	0x64E9610C89AA1335A49CF94B9A4862FC0BEA20CA2752F20D8BFB872A99E24756			
Ashes Cricket 2009	2009	_QuickBMS		\data\scripts\ashes_cricket_2009.bms		
Ashes of Creation		_Unreal4	0x6F8C0589C6B44F33B60CA56E65F37836BE60C311963147291D6316DDD8A5DB88			
Ashes: Afterglow	2021	_idTech				
Asphyre Sphinx Engine	#Note: move to engine menu	_QuickBMS	Asphyre Engine File (*.data -r *.mini -r *.wd2 -r *.map)|	\data\scripts\asphyre.bms		
Assassin's Creed II (BIG)	2009	_QuickBMS	big file (*.big)|	\data\scripts\assassin_creed2.bms		
Assassin's Creed Valhalla	2020	_Anvil				
Assassin’s Creed	2007	_Anvil				
Assassin’s Creed II	2009	_Anvil				
Assassin’s Creed III	2012	_Anvil				
Assassin’s Creed III: Liberation	2012	_Anvil				
Assassin’s Creed IV: Black Flag	2013	_Anvil				
Assassin’s Creed Odyssey	2018	_Anvil				
Assassin’s Creed Origins	2017	_Anvil				
Assassin’s Creed Rogue	2014	_Anvil				
Assassin’s Creed Syndicate	2015	_Anvil				
Assassin’s Creed Unity	2014	_Anvil				
Assassin’s Creed: Brotherhood	2010	_Anvil				
Assassin’s Creed: Revelations	2011	_Anvil				
Assault Heroes	2006	_QuickBMS	pak file (*.pak)|	\data\scripts\assault_heroes.bms		
Assault Heroes 2 (XBLA) 	Page not found!	_QuickBMS	PAK File (*.pak)|	\data\scripts\tongas.bms		
Asset Flip Tycoon Simulator	2020	_Godot				
Assetto Corsa	2014	_QuickBMS		\data\scripts\assetto_corsa.bms		
Assetto Corsa (ACD)	2014	_QuickBMS	acd file (*.acd)|	\data\scripts\assetto_corsa_acd.bms		
Assetto Corsa Competizione	2019	_Unreal4	0x670AF6D953018EB22676D3031A6613C3C6F5D32DFA643B45D4E07437DB8DEFE3			
Asteroid Deflector XL	2018	_Construct				
Astonia	Page not found!	_QuickBMS		\data\scripts\astonia.bms		
Astonia 3 (PAK)	Page not found!	_QuickBMS		\data\scripts\PAK_31.bms		
Astonishia Online	Page not found!	_QuickBMS		\data\scripts\astonishia_online.bms		
ASTRAL	2018	_Construct				
Astro Avenger 2/3вездный Форпост 2	Page not found!	_QuickBMS		\data\scripts\sahmon.bms		
Astro Avenger/3вездный Форпост	Page not found!	_QuickBMS		\data\scripts\sahmon.bms		
Astro Boy: The Video Game (PS2)	Page not found!	_QuickBMS	DATA.WAD/.DIR (DATA.WAD -r *.DIR)|	\data\scripts\astro_boy_ps2.bms		
Astrobatics	Page not found!	_QuickBMS		\data\scripts\astrobatics.bms		
Astropop (XBLA)	2004	_QuickBMS	XPR File (*.xpr)|	\data\scripts\xpr2.bms		
Asura Force Online	Page not found!	_QuickBMS		\data\scripts\asura_force_online.bms		
Atlantis		_ZIP				
Atlantis: Pearls of the Deep	Page not found!	_QuickBMS		\data\scripts\atlantis.bms		
Atlantis: The Lost Tales	1997	_QuickBMS		\data\scripts\atlantis_lost_tales.bms		
ATLAS	2019	_Godot				
Atomic Heart (tech demo)		_Unreal4	0x5E49FFB3ACC8A9A64CFF65DA5CB23C29EBB36FED83232DFFFBC69EF6EA74D0CE			
Aura Kingdom	Page not found!	_QuickBMS	pkg file (*.pkg)|	\data\scripts\aeriagames.bms		
Aura: Fate Of The Ages		_GAUP	PSP, PVD Files (*.PSP; *.PVD)|			
Austerlitz	Page not found!	_QuickBMS		\data\scripts\austerlitz.bms		
Austin Powers Pinball	2003	_QuickBMS	bnk file (*.bnk)|	\data\scripts\BNK_2.bms		
Austin Powers: Operation Trivia (SRF)	Page not found!	_QuickBMS		\data\scripts\SRF_SRF1.bms		
Auto Chess		_Unreal4	0x14CAE532C500DE84709358A69EC4962B9CA29EA1F19A4CE48A8D964F807FDEA5			
Autumn	2016	_ZIP	Love2D Engine Files (*.love; *.exe)|			
Avalanche Software: Rugrats Royal Ransom (PS2)	Page not found!	_QuickBMS		\data\scripts\rugrats_royal_ransom.bms		
Avalom: Ancestral Heroes	2021	_Unreal4	0x1EEF47A8EC20998183BFFB435DD4BA7C179F43D09671521460F229D00BE50935			
Avengers	Page not found!	_QuickBMS		\data\scripts\awad.bms		
Aviary Attorney	2015	_Construct				
Awakened Fate: Ultimatum, The (PS3)	Page not found!	_QuickBMS	DAT File (*.dat)|	\data\scripts\awakened_fate.bms		
AxySnake		_GAUP	bmppack.bin Files (bmppack.bin)|			
Azkend	Page not found!	_QuickBMS	paq file (*.paq)|	\data\scripts\10tons.bms		
Azkend 2	Page not found!	_QuickBMS	paq file (*.paq)|	\data\scripts\10tons.bms		
Azure Striker Gunvolt	2014	_QuickBMS		\data\scripts\azure_striker_gunvolt.bms		
B.o.T (Battle of Titans)		_Unreal4	0xCEAC1827A4DAC5ACC480E88B0CDA4F27B0F9AD02AFBDAF25A7022BB9D077C39D			
Back to School	Page not found!	_QuickBMS	(Glob.bin)|	\data\scripts\glob.bin.bms		
Back To The Future: Episode 1 - It's About Time    	2010	_TellTale	41			
Back To The Future: Episode 2 - Get Tannen!     	2011	_TellTale	42			
Back To The Future: Episode 3 - Citizen Brown     	2011	_TellTale	43			
Back To The Future: Episode 4 - Double Visions     	2011	_TellTale	45			
Back To The Future: Episode 5 - OUTATIME      	2011	_TellTale	46			
Backbreaker: Vengeance (XBLA)	Page not found!	_QuickBMS	PKD/PKH File (*.pkd -r *.pkh)|	\data\scripts\backbreaker.bms		
BackSlash	2017	_Construct				
Backyard Baseball (MET)	дата	_QuickBMS		\data\scripts\MET.bms		
Backyard Basketball (MET)	2001	_QuickBMS		\data\scripts\MET.bms		
Backyard Football (MET)	1999	_QuickBMS		\data\scripts\MET.bms		
Backyard Hockey (MET)	2003	_QuickBMS		\data\scripts\MET.bms		
Backyard Skateboarding (MET)	2004	_QuickBMS		\data\scripts\MET.bms		
Bad Boys: Miami Takedown	Page not found!	_QuickBMS		\data\scripts\blitz_games.bms		
Bad Government	2018	_Godot				
Bad Pad	2018	_Construct				
